blktap,xs-ring0
ffs,xs-ring3
forkexecd,xs-ring3
message-switch,xs-ring3
ocaml-netdev,xs-ring3
ocaml-rrd-transport,xs-ring3
ocaml-rrdd-plugin,xs-ring3
ocaml-tapctl,xs-ring3
ocaml-xcp-idl,xs-ring3
ocaml-xen-api-libs-transitional,xs-ring3
ocaml-xenops,xs-ring3
sm,xs-datapath
sm-cli,xs-ring3
squeezed,xs-ring3
v6d,xs-ring3
vgpu,xs-ring0
vhd-tool,xs-ring3
vncterm,xs-ring0
wsproxy,xs-ring3
xapi-storage-datapath-plugins,xs-ring3
xapi,xs-ring3
xcp-networkd,xs-ring3
xcp-rrdd,xs-ring3
xen,xs-ring0
xengt,xs-ring3
xenops-cli,xs-ring3
xenopsd,xs-ring3
xha,xs-ring3
xsconsole,xs-ring0
